player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
8355,Mukesh Kumar,Right hand Bat,Right arm Medium, ,Mukesh Kumar,Mukesh Kumar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mukesh%20Kumar.png
3451,DW Steyn,Right hand Bat,Right arm Fast, ,Dale Willem Steyn,Dale Willem,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/DW%20Steyn.png
5411,RP Meredith,Right hand Bat,Right arm Fast, ,Riley Patrick Meredith,Riley Patrick,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/RP%20Meredith.png
4098,JO Holder,Right hand Bat,Right arm Medium fast, ,Jason Omar Holder,Jason Omar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/JO%20Holder.png
7895,R Sai Kishore,Left hand Bat,Slow Left arm Orthodox, ,Ravisrinivasan Sai Kishore,Ravisrinivasan Sai,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/R%20Sai%20Kishore.png
1805,RK Bhui,Right hand Bat,Legbreak Googly, ,Ricky Kannakumar Bhui,Ricky Kannakumar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/RK%20Bhui.png
6054,AK Markram,Right hand Bat,Right arm Offbreak, ,Aiden Kyle Markram,Aiden Kyle,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/AK%20Markram.png
6710,Akash Deep,Right hand Bat,Right arm Fast medium, ,Akash Deep,Akash Deep,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Akash%20Deep.png
5976,KS Bharat,Right hand Bat, ,Wicketkeeper,Kona Srikar Bharat,Kona Srikar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/KS%20Bharat.png
6681,Tilak Varma,Left hand Bat,Right arm Offbreak, ,Namboori Thakur Tilak Varma,Namboori Thakur,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Tilak%20Varma.png
4119,RD Gaikwad,Right hand Bat,Right arm Offbreak, ,Ruturaj Dashrat Gaikwad,Ruturaj Dashrat,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ruturaj%20Gaikwad.png
6739,A Manohar,Right hand Bat,Legbreak Googly, ,Abhinav Manohar,Abhinav Manohar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/A%20Manohar.png
7843,Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium, ,Fazalhaq Farooqi,Fazalhaq Farooqi,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Fazalhaq%20Farooqi.png
7083,KR Sen,Right hand Bat,Right arm Fast, ,Kuldeep Rampal Sen,Kuldeep Rampal,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/KR%20Sen.png
3747,P Simran Singh,Right hand Bat, ,Wicketkeeper,Prabhsimran Singh,Prabhsimran Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/P%20Simran%20Singh.png
